INSERT_UPDATE PageFormat;qualifier[unique=true];name[lang=en];name[lang=de];width;height
;cd;CD;CD;119,944;120,65
;tabloid_p;Tabloid (Portait);Tabloid (Hochformat);279,4;431,8
;letter_p;Letter (Portait);Letter (Hochformat);215,9;279,4
;legal_p;Legal (Portait);Legal (Hochformat);215,9;355,6
;letter_half_p;Letter Half (Portait);Letter Half (Hochformat);139,7;215,9
;legal_half_p;Legal Half (Portait);Legal Half (Hochformat);177,8;215,9
;b5_p;B5 (Portait);B5 (Hochformat);176;250
;a5_p;A5 (Portait);A5 (Hochformat);148;210
;a4_p;A4 (Portait);A4 (Hochformat);210;297
;a3_p;A3 (Portait);A3 (Hochformat);297;420
;tabloid_l;Tabloid (Landscape);Tabloid (Querformat);431,8;279,4
;letter_l;Letter (Landscape);Letter (Querformat);279,4;215,9
;legal_l;Legal (Landscape);Legal (Querformat);355,6;215,9
;letter_half_l;Letter Half (Landscape);Letter Half (Querformat);215,9;139,7
;legal_half_l;Legal Half (Landscape);Legal Half (Querformat);215,9;177,8
;b5_l;B5 (Landscape);B5 (Querformat);250;176
;a5_l;A5 (Landscape);A5 (Querformat);210;148
;a4_l;A4 (Landscape);A4 (Querformat);297;210
;a3_l;A3 (Landscape);A3 (Querformat);420;297
